law,name,prop,fail,return_code,verdict,error_id,warnings,deck,out,note
LAW1,ELAST,TYPE14,base,0,OK,,"100214,100217,100214,100217",deck_LAW1_TYPE14_base_0000.rad,deck_LAW1_TYPE14_base_0000.out,isotropic linear elastic baseline
LAW1,ELAST,TYPE14,HASHIN,0,OK,,"100214,100217,100214,100217",deck_LAW1_TYPE14_HASHIN_0000.rad,deck_LAW1_TYPE14_HASHIN_0000.out,isotropic linear elastic baseline
LAW1,ELAST,TYPE14,PUCK,0,OK,,"100214,100217,100214,100217",deck_LAW1_TYPE14_PUCK_0000.rad,deck_LAW1_TYPE14_PUCK_0000.out,isotropic linear elastic baseline
LAW1,ELAST,TYPE14,TSAIWU,0,OK,,"100214,100217,100214,100217",deck_LAW1_TYPE14_TSAIWU_0000.rad,deck_LAW1_TYPE14_TSAIWU_0000.out,isotropic linear elastic baseline
LAW1,ELAST,TYPE14,CHANG,0,OK,,"100214,100217,100214,100217",deck_LAW1_TYPE14_CHANG_0000.rad,deck_LAW1_TYPE14_CHANG_0000.out,isotropic linear elastic baseline
LAW1,ELAST,TYPE14,USER1,2,BLOCKED:1130,1130,"100214,100217,100214,100217",deck_LAW1_TYPE14_USER1_0000.rad,deck_LAW1_TYPE14_USER1_0000.out,isotropic linear elastic baseline
LAW1,ELAST,TYPE14,JOHNSON,0,OK,,"100214,100217,100214,100217",deck_LAW1_TYPE14_JOHNSON_0000.rad,deck_LAW1_TYPE14_JOHNSON_0000.out,isotropic linear elastic baseline
LAW1,ELAST,TYPE6,base,0,OK,,"100214,100217,100214,100217",deck_LAW1_TYPE6_base_0000.rad,deck_LAW1_TYPE6_base_0000.out,isotropic linear elastic baseline
LAW1,ELAST,TYPE6,HASHIN,0,OK,,"100214,100217,100214,100217",deck_LAW1_TYPE6_HASHIN_0000.rad,deck_LAW1_TYPE6_HASHIN_0000.out,isotropic linear elastic baseline
LAW1,ELAST,TYPE6,PUCK,0,OK,,"100214,100217,100214,100217",deck_LAW1_TYPE6_PUCK_0000.rad,deck_LAW1_TYPE6_PUCK_0000.out,isotropic linear elastic baseline
