law,mechanism,family,description,iorth,ip,angle_deg,analytic_gpa,job,starter_check_rc,starter_rc,engine_rc,e_global_stress_gpa,e_global_reaction_gpa,e_cell_stress_gpa,sigma_x_mean_pa,strain_x_cell,strain_x_engineering,reaction_force_x_n,reaction_sigma_x_pa,rel_err_pct,angle_pass,combo_pass_count,verdict,error,vtk_path
LAW12,M1_phi_ip1,M1_phi,"PROP Phi on Ip=1 (r,s plane)",0,1,0.0,171.4,ori_law12_M1_phi_ip1_io0_a000,0,0,0,9.065303980939104,8.772514115231274,9.08110004530705,4537252.5,0.0004996368807042018,0.0005005074854125269,439.0708980560303,4390708.980560303,94.71102451520471,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M1_phi_ip1_io0_a000/ori_law12_M1_phi_ip1_io0_a000A001.vtk
LAW12,M1_phi_ip1,M1_phi,"PROP Phi on Ip=1 (r,s plane)",0,1,30.0,22.267164983219914,ori_law12_M1_phi_ip1_io0_a030,0,0,0,8.994713083430483,8.812448217370134,9.088844417458738,4501763.75,0.0004953065035806503,0.0005004899776395177,441.05420112609863,4410542.011260986,59.60548596909972,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M1_phi_ip1_io0_a030/ori_law12_M1_phi_ip1_io0_a030A001.vtk
LAW12,M1_phi_ip1,M1_phi,"PROP Phi on Ip=1 (r,s plane)",0,1,45.0,13.277196220353677,ori_law12_M1_phi_ip1_io0_a045,0,0,0,9.110437284815545,8.713002306495424,9.073419097662457,4559546.25,0.0005025168793508783,0.0005004750164516736,436.06399726867676,4360639.972686768,31.382822595862326,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M1_phi_ip1_io0_a045/ori_law12_M1_phi_ip1_io0_a045A001.vtk
LAW12,M1_phi_ip1,M1_phi,"PROP Phi on Ip=1 (r,s plane)",0,1,60.0,10.303106998372343,ori_law12_M1_phi_ip1_io0_a060,0,0,0,9.159857751535164,8.69372153853338,9.084489692119648,4584142.5,0.00050461199862184,0.0005004600097890943,435.0859966278076,4350859.966278076,11.096160090522078,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M1_phi_ip1_io0_a060/ori_law12_M1_phi_ip1_io0_a060A001.vtk
LAW12,M1_phi_ip1,M1_phi,"PROP Phi on Ip=1 (r,s plane)",0,1,90.0,9.08,ori_law12_M1_phi_ip1_io0_a090,0,0,0,9.14102265808943,8.763832031786285,9.079337909023062,4574556.25,0.000503842493344564,0.0005004425020160852,438.579402923584,4385794.02923584,0.6720557058307253,True,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M1_phi_ip1_io0_a090/ori_law12_M1_phi_ip1_io0_a090A001.vtk
LAW12,M1_phi_ip1,M1_phi,"PROP Phi on Ip=1 (r,s plane)",1,1,0.0,171.4,ori_law12_M1_phi_ip1_io1_a000,0,0,0,171.30042760513442,170.9839072982084,171.41182990544542,85730299.0,0.0005001422541681677,0.000500467513120384,8557.189086914062,85571890.86914062,0.05809357926812723,True,2,FAIL,,references/orientation_probe_decks/runs/ori_law12_M1_phi_ip1_io1_a000/ori_law12_M1_phi_ip1_io1_a000A001.vtk
LAW12,M1_phi_ip1,M1_phi,"PROP Phi on Ip=1 (r,s plane)",1,1,30.0,22.267164983219914,ori_law12_M1_phi_ip1_io1_a030,0,0,0,97.18132468499091,97.02308001491976,110.4195551273196,48622975.0,0.0004403474995342549,0.0005003324986319058,4854.3800048828125,48543800.048828125,336.4333077795256,False,2,FAIL,,references/orientation_probe_decks/runs/ori_law12_M1_phi_ip1_io1_a030/ori_law12_M1_phi_ip1_io1_a030A001.vtk
LAW12,M1_phi_ip1,M1_phi,"PROP Phi on Ip=1 (r,s plane)",1,1,45.0,13.277196220353677,ori_law12_M1_phi_ip1_io1_a045,0,0,0,47.673939224995976,47.579959225459724,36.81272949710087,23857350.0,0.0006480733791249804,0.000500427495353506,2381.031982421875,23810319.82421875,259.0663151600696,False,2,FAIL,,references/orientation_probe_decks/runs/ori_law12_M1_phi_ip1_io1_a045/ori_law12_M1_phi_ip1_io1_a045A001.vtk
LAW12,M1_phi_ip1,M1_phi,"PROP Phi on Ip=1 (r,s plane)",1,1,60.0,10.303106998372343,ori_law12_M1_phi_ip1_io1_a060,0,0,0,23.43101574582208,23.55152889022518,17.162691096644615,11718612.5,0.0006827957477071323,0.0005001325007469859,1177.8885040283203,11778885.040283203,127.41698935596463,False,2,FAIL,,references/orientation_probe_decks/runs/ori_law12_M1_phi_ip1_io1_a060/ori_law12_M1_phi_ip1_io1_a060A001.vtk
LAW12,M1_phi_ip1,M1_phi,"PROP Phi on Ip=1 (r,s plane)",1,1,90.0,9.08,ori_law12_M1_phi_ip1_io1_a090,0,0,0,9.01507496192797,9.476133953627766,9.063196611701676,4512112.5,0.0004978500073775649,0.0005005074854125269,474.28759765625,4742875.9765625,0.7150334589430519,True,2,FAIL,,references/orientation_probe_decks/runs/ori_law12_M1_phi_ip1_io1_a090/ori_law12_M1_phi_ip1_io1_a090A001.vtk
